# vocab_decisions v1.1.0
# 最終更新: 2026-08-25
# 判定基準: SPEC §4.2(curation 規範)
# 採用の根拠: 2026-08-25 の先行検証で用例・近傍を実見した語(docs/concept.md §11)
# 除外の根拠: 反復強調・程度の副詞で模写性がない。多くは漢字反復表記(色々・段々・益々)を持つ
# この表に無い語はエージェントが独断で採否を決めず needs_review に回す(AGENTS.md §2)
# v1.1.0 (2026-08-25): 保留語の採用提案 322 語を人間の承認を経て追加。除外提案25語とhold20語は据え置き
word	decision	reason
がくがく	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
がさがさ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
がたがた	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
がちがち	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
がつがつ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
がばがば	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
がぶがぶ	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
がみがみ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
がやがや	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
がらがら	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
がりがり	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
がんがん	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
きいきい	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
きしきし	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
きびきび	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
きらきら	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
きりきり	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
きんきん	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ぎいぎい	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ぎざぎざ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ぎしぎし	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ぎすぎす	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ぎちぎち	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ぎらぎら	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
ぎりぎり	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
ぎろぎろ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
くさくさ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
くすくす	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
くたくた	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
くっくっ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
くつくつ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
くどくど	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
くなくな	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
くねくね	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
くよくよ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
くらくら	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
くりくり	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
くるくる	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
くんくん	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ぐいぐい	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ぐうぐう	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ぐずぐず	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
ぐたぐた	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
ぐつぐつ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ぐびぐび	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ぐらぐら	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
ぐりぐり	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ぐるぐる	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
ぐんぐん	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
けちけち	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
けらけら	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
げえげえ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
げじげじ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
げたげた	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
げらげら	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
こせこせ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
こそこそ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
こちこち	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
こつこつ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
こてこて	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ことこと	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
こりこり	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ころころ	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
こんこん	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ごうごう	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ごくごく	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ごしごし	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ごそごそ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ごたごた	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ごつごつ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ごてごて	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ごとごと	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
ごほごほ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ごぼごぼ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ごみごみ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ごりごり	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ごろごろ	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
ごわごわ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ごんごん	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
さくさく	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
さっさっ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
さばさば	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
さやさや	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
さらさら	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
さわさわ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ざあざあ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ざくざく	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ざぶざぶ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ざらざら	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
ざわざわ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
しおしお	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
しくしく	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
しとしと	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
しなしな	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
しぶしぶ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
しらしら	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
しんしん	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
じいじい	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
じくじく	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
じとじと	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
じめじめ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
じゃじゃ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
じりじり	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
じろじろ	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
じわじわ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
じんじん	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
すいすい	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
すうすう	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
すくすく	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
すごすご	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
すたすた	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
すっすっ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
すぱすぱ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
すべすべ	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
すやすや	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
すらすら	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
するする	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
ずかずか	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ずきずき	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ずけずけ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ずたずた	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ずばずば	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ずぶずぶ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ずらずら	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ずるずる	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
ずんずん	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
せかせか	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ぜいぜい	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ぜえぜえ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
そよそよ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
そわそわ	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
ぞくぞく	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ぞろぞろ	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
たじたじ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
たったっ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
たぷたぷ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
たらたら	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
だくだく	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
だだだだ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
だぶだぶ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
だらだら	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
ちかちか	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ちくちく	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
ちっちっ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ちびちび	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ちまちま	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ちらちら	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
ちりちり	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ちろちろ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ちんちん	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
つかつか	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
つけつけ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
つやつや	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
つるつる	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
つんつん	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
てかてか	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
てくてく	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
てらてら	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
でかでか	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
でれでれ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
とげとげ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
とことこ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
とっとっ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
とぼとぼ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
とろとろ	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
とんとん	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
どかどか	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
どきどき	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
どくどく	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
どしどし	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
どたどた	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
どどどど	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
どやどや	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
どろどろ	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
どんどん	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
なでなで	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
なみなみ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
なよなよ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
にこにこ	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
にたにた	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
にやにや	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
ぬくぬく	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ぬけぬけ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ぬめぬめ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ぬらぬら	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ぬるぬる	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ねちねち	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ねとねと	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ねばねば	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
のこのこ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
のしのし	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
のそのそ	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
のめのめ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
のろのろ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
はあはあ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
はきはき	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
はたはた	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
はははは	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
はらはら	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
はりはり	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ばくばく	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ばさばさ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ばたばた	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
ばちばち	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ばらばら	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
ばりばり	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ぱかぱか	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ぱきぱき	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ぱくぱく	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ぱさぱさ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ぱたぱた	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
ぱちぱち	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ぱっぱっ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ぱらぱら	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ぱりぱり	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ぱんぱん	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ひいひい	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ひくひく	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ひしひし	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ひそひそ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ひたひた	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ひやひや	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
ひらひら	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
ひりひり	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
びくびく	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
びしびし	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
びたびた	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
びらびら	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
びりびり	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
びんびん	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ぴいぴい	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ぴかぴか	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
ぴくぴく	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ぴしぴし	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ぴたぴた	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ぴちぴち	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ぴらぴら	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ぴりぴり	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ぴんぴん	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ふうふう	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ふかふか	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ふがふが	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ふくふく	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ふさふさ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ふっふっ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ふつふつ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ふらふら	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
ふりふり	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ふわふわ	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
ふんふん	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ぶうぶう	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ぶくぶく	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ぶすぶす	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ぶつぶつ	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
ぶよぶよ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ぶらぶら	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
ぶりぶり	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ぶるぶる	adopted	先行検証で用例・分布近傍を実見した擬態語(SPEC §4.2 採用)
ぶわぶわ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ぶんぶん	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ぷうぷう	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ぷかぷか	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ぷくぷく	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ぷすぷす	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ぷちぷち	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ぷっぷっ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ぷつぷつ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ぷりぷり	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ぷるぷる	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
ぷんぷん	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
へたへた	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
へっへっ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
へとへと	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
へなへな	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
へへへへ	adopted	提案シートの採用提案を人間が承認(2026-08-25・vocab_proposals v1)
